username,num_of_stars,review,time
J222,4,Very stylish. Fit is true to size. My 17 year old son is very pleased with them.,"March 16, 2024"
Tonynottom,5,Classic Adidas. Great fit with an inner sole as I'm in between UK 81/2 and 9.,"March 16, 2024"
bully72,5,the wife loves them best mother’s day present ever,"March 16, 2024"
Kobashi,5,"Buena calidad de materiales, entalle perfecto. Super recomendado.","March 16, 2024"
Hebhdydjals,5,Very good and comfortable shoes would recommend to others,"March 16, 2024"
Adman,5,"Upper, stripes, sole in black looks great. These will be my neutral, smart pair.","March 15, 2024"
Paul,5,"The adidas Gazelles in black with silver stripes stand out due to their timeless design and iconic branding. The combination of the classic black colorway with the striking silver stripes adds a touch of sophistication and versatility, making them suitable for various occasions. Additionally, the Gazelles are known for their comfort, durability, and cultural significance, making them a popular choice among sneaker enthusiasts.","March 15, 2024"
Fervm,5,"Fast delivery, and shoes are a really good material and well made","March 15, 2024"
mar111,5,super cute i love the color and they are comfy loveeee definitly get these,"March 15, 2024"
SuzyQNC,4,"These are so cute and extremely comfortable. They definitely run large so go down .5 size. The only “issue” is the material
Of the tongue. It’s a little “plastic” and stiff.","March 15, 2024"
NayNay,5,Very nice and comfortable shoe! I would definitely recommend you to purchase this shoe!,"March 15, 2024"
BizMiz,2,Color not matchinh in real vs pics. In real the Color was more rosé than expected. Shoe itself was perfect and in good quality . Bought a different color in store,"March 15, 2024"
patpat,5,"nice and sweet    
sportswear for every generation","March 15, 2024"
Ejones,5,Arrived quickly and the perfect trainer! Colour slightly faded which looks great,"March 15, 2024"
Mumu74,5,Gazelles in funky retro colour ways are always a winner for me. Along with the usual excellent delivery service from Adidas. Will just keep on buying from a great retailer.,"March 15, 2024"
Shirley,5,"The design is lovely, they’re comfortable &amp; I’m so glad to add them to my collection!!","March 15, 2024"
ruru,5,the color is gorgeous and the shoe elevates my outfits; it's also very comfortable surprisingly for a shoes that sits so low below the ankles,"March 14, 2024"
"Inonowanna:,(",5,It was good it felt good and it was very comfortable,"March 14, 2024"
kg2345,5,"Had these for about a year now, quality still stands and gets even more comfortable over time. Size does run about half a size too big but put some thick insoles in a they fit perfect.","March 14, 2024"
Lauren06,5,"Love them, perfect colour, true to size and super comfy","March 14, 2024"
Sonny,5,All white Gazelle goes with everything for every occasion.,"March 14, 2024"
Bibi,5,"One of the most comfortable shoes ever had same as campus. Leather is nice and soft, only black shoes I would ever wear. All recommends","March 14, 2024"
Spoyd,5,"Great fit and very comfortable.
Best place to buy as I need size 13","March 14, 2024"
DrBoxie,5,An amazing shoe. Contemporary colours in a classic style.,"March 14, 2024"
hunter,5,the shoes are gorgelicious. very pretty and handsome and nicely sturdy 👍 every full moon be sure to knead the material to ensure non-squeaky endeavors.,"March 14, 2024"
Bartender,5,"This adidas samba it’s just another great experience over the years of having them, of course it’s a different color way but the feeling it’s amazing, either to walk or to have them in a daily basis feels great","March 14, 2024"
Melba’s,1,I sent back for exchange for another size buy I didn’t get nothing they haven’t sent it back the shoes or the money so I’m disappointed,"March 14, 2024"
Bubs,5,Very comfortable great style and quality and look was ace,"March 13, 2024"
MaryLou,4,Very Nice shoes! Lovely colour and good fit. Highland reccomend them.,"March 13, 2024"
Rob21,5,"Classic silhouette, comfortable to wear and matches most outfits","March 13, 2024"
PushaP,5,Love the vintage feel I get from wearing these. They definitely stand out!,"March 13, 2024"
cadanceamelia,5,i love these trainers so much they are so comfy i wear them everyday,"March 13, 2024"
likeabutterfly,5,great design and fabric from a reputable brand.  The colour options will make you into.a collector,"March 13, 2024"
Kazza,5,Bought these for my son for Christmas. He loves them!!!,"March 13, 2024"
Kenneth,5,Classic sneaker for my daughter and she loves it. Will recommend,"March 13, 2024"
Chip,3,The first time the team had played a match was when they won a,"March 13, 2024"
DPGB,5,Awesome pair for couple as it is very colourful love it,"March 13, 2024"
Iketle,3,"They make a lot of noise and the tongue is too long, pushes into my ankles. Other than that they are comfortable and look good.","March 13, 2024"
Kaizer,5,Excellent! Can’t tell why 4 stars are missing above Germany logo. Could look much better. Great to have extra laces that came with (black?).,"March 12, 2024"
Jok27,5,These look great but the design on them seemed a bit off compared to my other gazelles,"March 12, 2024"
JLC7,5,"Just what I was looking for. Comfy, stylish and practical","March 12, 2024"
Evangrvs,5,"it cames very quickly, the delivery very short
ezfzefz
zfzefez","March 12, 2024"
Danny1878,5,"Best shoe’s ever!! These are my go to shoe, I have them in different colours as well, will only wear Adidas","March 12, 2024"
Hathor20,5,"Perfect quality and fast delivery! Very comfortable and stylish sneakers, I love it!","March 12, 2024"
JillyB,5,I love these shoes super comfortable and cute! The green color is very nice and really makes a statement. I would recommend going down a 1/2 to a full size I ordered my regular size 9 and they are a little big.,"March 12, 2024"
Soccerfan29,5,These shoes are fantastic! They look great and they are so comfortable. Couldn’t be happier with the fit.,"March 12, 2024"
Timo,4,"Super nice, super comfortable...BUT (at least now in the beginning) annoying squeaking in the upper part :(","March 12, 2024"
Aluketchup,5,I was unsure about the green color but when I got the shoe the color looks amazing and the shoe is comfortable,"March 12, 2024"
Drelle,5,This is my favourite since years and probably will be for life.,"March 12, 2024"
Marivel22,5,"Wore these at work with a suit, with jeans and get so many compliments. Super comfortable!","March 12, 2024"
gras,4,they’re so gorgeous and pretty! I love these shoes,"March 12, 2024"
Chels_bells,5,I wore them to travel and they were the perfect shoes for me. They went with almost everything. Dress them up or keep it casual.,"March 11, 2024"
Theobrfc,5,gggggdhrhehehrhehrhehegehehehrhrhrhrrbrhrhrhrhfnfnfn,"March 11, 2024"
Denise,5,"Perfect size , great colour, love the sole .so comfortable","March 11, 2024"
Moominmumma,4,love the fit and style and they are super comfortable...would be better if the tongue was not so plasticy,"March 11, 2024"
jut2k,5,"Classic Gazelle look with amazing comfort. Although white can be tricky to keep clean, these are back to their best with a wipe of a damp cloth.","March 11, 2024"
Baba,5,"Klassisch und perfekt, wunderbare Verarbeitung, tolle Passform","March 11, 2024"
tomaso,4,"the purism and the retro look
good fit and comfort","March 11, 2024"
Agss,5,"Ok, but not true to size. I had to send them back and wait g for proper size to back in stock","March 11, 2024"
jojo,5,I absolutely love these in grey I've now got a few pairs now my favourite trainners,"March 11, 2024"
Maddy7,5,Very cool! I live this color and style so much! Very stylish,"March 11, 2024"
Amira0907,4,"Super comfortable
Very light
The color is great - I received a lot of compliments","March 10, 2024"
UliMZ,5,It fits perfectly to different styles and is very comfortable.,"March 10, 2024"
Evie58,5,"Absolutely love them,so comfortable could wear them all day ⭐️⭐️⭐️⭐️⭐️","March 10, 2024"
JO64,3,"The trainers look lovely and fitted well, but when I started walking the tongue kept digging into my ankle making them very uncomfortable which is a shame because I really like them, my blue Adidas trainers have a soft tongue and are soft and comfortable","March 10, 2024"
Sunniest,5,But to take the next size after yours: mine is 40 and 41 2/3 fits me better,"March 10, 2024"
Cola201,5,If you can’t get the Jersey just get these shoes and a white or red shirt. Support our team in Copa America! VAMOS PERU!!!,"March 9, 2024"
Jjcale,4,Enjoyable to wear. My friends are over the moon about it. Look like a right chav,"March 9, 2024"
Aidana,3,"It doesn’t match to the size chart, I ordered 38 size because there written that is 23,5 cm, but in fact it is 26cm. What should I do with this shoes, I am not in USA now, cannot do a return","March 9, 2024"
Detta,3,"The edge of the inner sole is sharp and rubs, the tongue looks really cheap and nasty and the laces are way too long, they look really cheap!","March 9, 2024"
DJones,5,"Smart trainers, well made, good quality, nice suede and very comfortable.","March 9, 2024"
Beeblin1,5,Bought daughter to wear around with friends. Went down so well she bought them for her mum on her birthday!,"March 9, 2024"
NikG,4,"Got the shoes for my wife, but she didn’t like the colour much.","March 9, 2024"
Ashton,5,Affordable and fashionable I love them ! Great choice in trainers,"March 8, 2024"
Bigs,5,Fit like a glove. Goes with everything and feels comfortable wearing all day.,"March 8, 2024"
PB120,5,"Comfortable and well constructed shoe.
Suggest ordering half size bigger than your normal for good fit.","March 8, 2024"
TraceyN21,5,"Look great, feel so comfortable. Can’t beat a classic trainer","March 8, 2024"
TPinto,5,"The colour was slightly different than the colour on the website, but still amazing","March 8, 2024"
Bigpepa1,5,Can't find these colors in the mall or other store front stores,"March 8, 2024"
Yero,5,I love I had the opportunity to do mix and match with my daughter’s shoes,"March 7, 2024"
Subrian,5,Felt I was very lucky to of gotten them. I love them!,"March 7, 2024"
TinaLove,5,The shoes fit perfectly and are very comfortable. The green color looks so great and is an eye-catcher.,"March 7, 2024"
Brucey,4,"Nice style, good fit, well made. Would recommend and buy again.","March 7, 2024"
CheSegovia,5,"Nephew loved the shoes, perfect for you or as a gift.","March 7, 2024"
Josm9013,5,"Love the quality and the color of the pair.
Also have the sambas","March 7, 2024"
Scooter,5,It's just a classic shoe!  I would like to see it in green with the white sole,"March 6, 2024"
Petter,3,The mark at the bottom of the shoe rubs off after two hours of use,"March 6, 2024"
CleatUs,5,These are easy to put on and wear in quickly without wearing out,"March 5, 2024"
Uikponuz,4,"Fits fine, suitable for the job.
Makes a little Sound while Walking. Therefore only 4 Stars.","March 5, 2024"
Jamesdenny,5,Nice trainers. Usually get them and always good quality.,"March 5, 2024"
Dogman,5,"It's not the first ""gazelle"" shoe I've bought. Always great","March 5, 2024"
Paul42,5,"This is my third pair of Gazelles now I absolutely love them. They’re comfy, stylish and pretty much go with anything.","March 5, 2024"
Gaelle,4,"Great great look, but small. Unfortunately I can not find a bigger size... Same for the color I originally wanted to order :(","March 5, 2024"
DNA70,5,Great retro shoe that’s true to the original. Looks great with anything. Casual or a suit.,"March 5, 2024"
dug10,5,great fit and comfortable for everyday wear and goes with a lot of outfits !!,"March 4, 2024"
Romanianhero,5,"Perfect fit and quality. Good quality, very easy to track the delivery.","March 4, 2024"
JacobPicko,5,A shoe for any sorta occasion really. Have used a lot.,"March 4, 2024"
Randy,5,Look great with anything—anything! Reason they have lasted!!,"March 4, 2024"
MissT,5,"My gazzelle's are so comfy and versatile i can wear them with jean, cords or even a dress","March 4, 2024"
Geoffbean,5,"My go to trainer looks good for many occasions, looking at getting another pair","March 4, 2024"
Stoni,5,"Cool colour, mu h choice in further colours, very good to wear!","March 4, 2024"
Lea47,5,"Got a half size bigger then normal fit as I didn't want them tight, they are so comfy and work well with both shorts and long pants.","March 4, 2024"
R2D217,5,Perfect fit as always. Stylish &amp; comfortable! Can’t get enough gazelles.,"March 4, 2024"
Scott,5,These turned to be exactly what I was looking for.,"March 4, 2024"
Chocolate,5,My Gazelle’s are a Soft feel and comfortable fit to wear all day!,"March 4, 2024"
Josh,5,"Exactly what I was looking for, I love them. I strongly recommend","March 4, 2024"
Lanie81,5,These are gorgeous. Colors are bright andy husband is excited to wear them,"March 4, 2024"
Glib08,5,These shoes are perfect for a basic closet staple. Perfect for any use!,"March 4, 2024"
b3nmate,5,"Very comfy on foot, practical- can be be used both to look good in and wear out just for a mess around, perfect for any football casuals.","March 4, 2024"
JOZO,5,"Perfect, althoug they are producing some strange kind of sound during walking. Maybe because they are brand new.","March 3, 2024"
BeAd,5,I like this design of the gazelle and the different colours,"March 3, 2024"
Roger,5,Sharp all black kicks that go with everything. I usually wear 11.5 in most but 11s are perfect in this model.,"March 3, 2024"
Ali9,5,"Great,impeccable Amazing amazing lovley good looking","March 3, 2024"
Tania,5,"I bought a half size up, very comfortable to wear at the office and the color ( white) is crisp.","March 3, 2024"
Anna,1,"Deasin is nice, but qualilty not. A little bit of leather and the rest plastic. You disappointed  adidas","March 3, 2024"
Nicolajane13,5,"Love this Adidas trainer, the design is beautiful.... I paid £30 more on these trainers, i have the same colour which i purchased last year, but thesr are made better.... Very happy.. I have over 50 pairs of gazelle""s, my only complaint is i never get a discount that applys to my choice of trainer... Which are Gazelle, Stan smith and Samba, that would make my purchase 100%....","March 3, 2024"
Nessa,5,These are my 1st pair of Gazelles and they are super comfortable not to mention so stylish - love them! Now I’m ready to purchase a green pair and a purple pair….,"March 3, 2024"
Jw01,4,Please make more size 4 1/2 in more colors. I have the red and they are perfect. The size 5 is too large. Thanks.,"March 2, 2024"
Adidas777,5,fits perfectly and it is the best shoes i ever wore from adidas,"March 2, 2024"
Mell,5,I love the design of these even as a woman I find them very aesthetically pleasing. I love retro stuff especially from the 80s and 90s and these are great.,"March 2, 2024"
Oosh,5,The shoe it’s self is made from great quality and is amazing to wear,"March 2, 2024"
tilly578,4,"these are such a nice colour combination 
and look reallly nice with lots of clothes","March 2, 2024"
Gazelle24,5,"What’s not to like, comfortable, on trend in this colour… lovely!","March 2, 2024"
Huffy,5,Exactly what I was wanting. Classic look  and great fit.,"March 2, 2024"
Hajro88,5,Great quality and color.  Fits perfect.  Just in time for Saint Patrick's Day.,"March 2, 2024"
Morque,4,I reccomend the shoes . Very Comfortable and durable,"March 2, 2024"
NYpurchaser,4,Great look. The tongue squeaks but is easily fixed with a bit of vaseline. The tongue is a bit long and hits the lower part of my shin. Will take some breaking in...,"March 2, 2024"
Calcato,5,"The color is amazing, quality is also amazing and they are very comfortable.","March 1, 2024"
Jan680,4,"Had compliments already but not worn long so unable to comment much more. Look and feel great, hopefully this will last.","March 1, 2024"
elchinobrown,5,love the color and shoe style but i felt ir was too narrow for my foot felt a little tight on the tongue part of the show. and for some reason the shoes plasticky rubbery tongue makes the shoe squeak too much that walking makes a bit awkward in quiet places,"March 1, 2024"
Frankie4,5,Gazelle sneakers are a perfect sneaker for looking stylish and being comfortable. Adidas did awesome with the individual throwback country releases. Got several pairs to go with different outfits. Definitely a must for sneaker collections everywhere.,"March 1, 2024"
Peter,5,Argentina version is amazing.  Wife surprised me with another set.,"March 1, 2024"
Gary37,3,"Great classic trainer, loved the colour  - the main down fall was the colour fades quick quickly.","February 29, 2024"
Patander,5,Would definitely recommend and buy again.  100% satisfied,"February 29, 2024"
Aga2000,5,Originality of Adidas brand. Very classy design. Lovely deep colour.,"February 29, 2024"
luccio01,5,Great and very nice with my name and my birthday date,"February 29, 2024"
Maxi,1,"The wrong trainer arrived , ❗️❗️❗️Photo was black trainer and grey base and stripes .
Blue trainer arrived with base , tongue and stripes in black 🤷🏼‍♂️🤷🏼‍♂️🤷🏼‍♂️🤬🤬🤬","February 29, 2024"
PatB,4,"Great look! Classic! Fits well and comfortable.  However, quite squeaky so far ….","February 29, 2024"
fanthomastisch,5,"It is comfortable, nice colours, matches with my clothes","February 29, 2024"
Broonay86,5,"Well presented, classic style, adaptable to numerous outfits","February 29, 2024"
thebeaz,5,great with a light pair of trousers and with summer coming that will be the perfect match,"February 29, 2024"
Angi,5,Love the colour and style. It seems to be the tongue that makes the squeaky sound,"February 29, 2024"
Daisy25,5,"These are my first pair of Gazelles as I usually have Jeans, however I can see this is going to be the start of a whole new collection! They fit really well, are super comfy, nice and bouncy and each time they’ve been out they’ve been complimented.","February 29, 2024"
DocMD27,5,"Grabbed the colorway that is tan with black stripes.  They look so sweet.  The tongue feels a little weird, but the insole and the outer parts of the shoe are made with an extremely comfortable material and I could not recommend this shoe enough.","February 29, 2024"
shannon,5,excellent quality and loved the fact i could customise these trainers my partner loved these for valentines and was over the moon with his nick name on,"February 28, 2024"
Nac24,5,"Great shoes  ever I love the colors 
My girlfriend like them","February 28, 2024"
Perry44,4,"Very beautiful product.
It's very comfortable tu wear in urban places.","February 27, 2024"
Kacky27,5,Its one of the fashionable shoes of addidas and cheP,"February 27, 2024"
FerV,5,"very comfortable, great style. I bought the dark red and I love it!","February 27, 2024"
KM09,5,Bought for my daughter - she's delighted with them.,"February 27, 2024"
Aloneking,4,The fit was a bit on lose side due to the narrow front but it is comfortable shoes,"February 27, 2024"
Kingy69,5,I love the comfort and the way it morphs around my feet,"February 27, 2024"
Gabriel,3,"Skoen presser inn på siden av foten, måtte ta ut innersålen og løsne lissene veldig mye for den ikke skal stoppe all blodsirkulasjon","February 27, 2024"
TonyG,5,"The padding and lining make this really comfortable as well as looking great.  The colour is exactly what I was looking for too.  Came with a spare pair of colour contrast laces which was a nice touch. I normally wear a size 12 but found that I needed a half-size bigger, but the fit is great.","February 27, 2024"
Polly,5,Great quality material. The size fits as expected. Comfortable and breathy. Suede is looking good!,"February 27, 2024"
Soccrmd,5,Anything Man United and Adidas is the best collaboration.,"February 27, 2024"
Tata,5,A very good shoe to run a marathon in but it is also good for track,"February 27, 2024"
Sidla,5,Stylish comfortable nice vibrant color way. Shoe is wider so you can size down. But would recommend normal size,"February 27, 2024"
Sunny,1,"Very slow delivery, received 17 days after purchase","February 26, 2024"
ChefsKissSneakers,5,When you don’t want to be stuffy but you still want to make a statement these shoes do it. The silhouette matched with the texture of the suede is chef’s kiss perfect.,"February 26, 2024"
TH13,5,Great nostalgic purchase.  Just as I remembered except more comfortable.,"February 26, 2024"
juan12,5,"Love the colour, super vibrant and great for the summer.","February 26, 2024"
Migidimick,5,This color scheme matches a track suit I already have so I’m super stoked for these!,"February 26, 2024"
Boby,5,Nikel perfect cool coooooolllllll I do a good choice,"February 26, 2024"
charlotte,5,Really comfortable and color is great! Will definitely get them in another color,"February 26, 2024"
Quique,5,Quality and style come together for this shoe. Will get it again,"February 26, 2024"
Jas5,5,These are very low drop shoes but with great arch support. They are incredibly comfortable out of the box.,"February 26, 2024"
Goblue,5,Own 3 pairs and will likely get more colors. Complimented on all of these shoes so many times!,"February 26, 2024"
JarenDraws,5,I loved them they fit great and are super stylish and comfortable.,"February 26, 2024"
Barnaby,5,Currently convincing myself that I do not need these in all the colors.  I highly recommend you get one. They’re sold out in some colors for good reason.,"February 26, 2024"
Ceee,5,The style is great! Goes great with your Real Madrid gear!,"February 26, 2024"
Jman,5,The color and look is amazing. I had a pair similar when I was younger and they’ve brought back great memories,"February 25, 2024"
Kate,5,As fab as I had hoped they would be and v comfortable. Perfect.,"February 25, 2024"
Tine24,5,"Comfortable, always choose these. Lovely colour too","February 25, 2024"
Juju,5,"Old favourites always received quickly , would recommend","February 25, 2024"
Bobbi56,4,It s very pretty but the color on the stripes is not very visible,"February 25, 2024"
Ginger,5,Great trainers . Nice fit and comfy . Very light on your feet,"February 25, 2024"
Anilomidze,5,"Its so comfortable, I love adidas so much, its so nice","February 25, 2024"
PapaBelle,5,Very comfortable and the quality is great. The gazelle is a classic and this shoe holds true to that.,"February 24, 2024"
glib1234,5,It’s really beautiful and comfortable! I can’t wait to use them in spring and summer!!,"February 24, 2024"
Sarahnic,5,"Perfect as described great fit 
Love gazelles will be buying again","February 24, 2024"
Fliss13,4,The trainers are lovely. The fit and style are perfect. The only issue is the colour. They are a much brighter blue than shown in picture.,"February 24, 2024"
Jay00,4,a little squeaky &amp; a bit narrow. wish they offered a wider fit.,"February 24, 2024"
Cwoods77,5,I love my gazelles. It’s my second pair. Digging these all black ones though.,"February 24, 2024"
Sofia,5,It was a gift for my husband and he loved them! Perfect fit,"February 24, 2024"
Bev000,1,Loved the look but unfortunately the tongue part of the trainer comes too high on my foot making it instantly uncomfortable to wear.,"February 23, 2024"
AgaM,5,My daughter loves the colour combination and finds those beautiful shoes very comfortable. She is very happy with the purchase,"February 23, 2024"
KladdoFanks,5,They go on my feet real good. And keep them dry. Chamone.,"February 23, 2024"
SalomeGM,5,Great purchase - goes with everything. Color is incredible,"February 23, 2024"
Jenn,5,Love the colour not red red but a bit raspberry red. Wusged ud ordered a 1/2 size bigger as they feel a little short . Otherwise love em .,"February 22, 2024"
Chucho,5,Great looking shoes for work out and the streets and easy to wear color.,"February 22, 2024"
Lynnguine,5,"It’s a gazelle, I’m not sure they’ve changed the formula on these in awhile so if you’ve had one before you can expect a similar product","February 22, 2024"
tali,3,They sent me the wrong size and the shoes were so squeaky,"February 22, 2024"
SazM,5,"Fantastic trainers, prompt and efficient service. I’d definitely recommend 👍","February 22, 2024"
Kels,5,"Love these trainers, they are a great fit!!!!! Would buy again","February 22, 2024"
KGToyz,4,This product has lasted me very long and fits perfectly.,"February 22, 2024"
photodr529,5,"I will be buying more!
Casual or formal Clothes!!!","February 21, 2024"
Blighty76,5,Will look good with lots of outfits. My new favourite trainers.,"February 21, 2024"
Alin,5,"Very good quality,easy to wear,can be assorted with a lot of outfits","February 21, 2024"
Freako99,5,The shoes are diva boots the house down when i go down the street people yell out sissy that walk bec my shoes are so fabulous.,"February 21, 2024"
SGFTH,5,"Just the usual comfortable gazelles, cannot go wrong","February 21, 2024"
Inestable,5,"They’re perfect, I love the color and the fit!!!


I recommend this shoes.","February 21, 2024"
behen,5,"loved the design and the fit, gonna wear that every now other day","February 21, 2024"
Ryan,5,"The color is vibrant and the shoe fits perfectly, it slips on and off without having to tie/untie but isn’t loose. Sleek, classic design.","February 21, 2024"
Murrdog4,5,These make the perfect gift because they go with any outfit!,"February 21, 2024"
lisama,1,"i am happy, I recommend for the other customers ,my daughter is happy","February 20, 2024"
12344,5,Really comfortable and fits true to size perfectly,"February 20, 2024"
Mary,5,Running large . I ordered a size 7 and I’m usually 8 regular and it’s big,"February 20, 2024"
RavJam,5,Love the personal stamping. Would for sure buy another pair.,"February 20, 2024"
AM03,3,Too narrow and too much space around the heel. Could be better,"February 20, 2024"
Lu23,4,I actually decided not to buy and went with a different colour as I didn’t think a beige suede was very practical for me. The quality of shoes was great though.,"February 20, 2024"
LaureU,5,Great ! Perfect ! Fabulous ! Excellent ! Love it !,"February 20, 2024"
SuedePatina,5,"These instantly became my go-to shoe. They’re not the easiest to clean but I don’t mind a suede patina. In terms of comfort I’d say they’re pretty good. I don’t do any intense form of walking with these, but they’re a great every day pair of sneakers.","February 20, 2024"
St.Ophas,5,Can wear with almost any fit. Shorts or long pants,"February 20, 2024"
Mo-P,5,I will buy this shoe over and over again if I have to,"February 20, 2024"
KAROTR,5,"my son loves these sneakers, they are versatile and comfortable","February 20, 2024"
ES90,5,"Another great colorway for a timeless silhouette, GGMU","February 19, 2024"
Lol123,5,"It was good, the fit was abit big but I think I got the wrong size","February 19, 2024"
Dogsandshoes,5,Perfect casual everyday shoe. Comfortable and classic style.,"February 19, 2024"
Zoes108,5,Fab shoes. Really comfortable. Love this colourway,"February 19, 2024"
Emily,5,"Great colour, nearly nude und fit perfectly already wearing the first time.","February 19, 2024"
Ewe1ch,5,"Unique style, that you don’t see every day. On my fourth pair, this is my first time trying the navy color. Had several positive comments","February 19, 2024"
Brax,5,I love this show due to having it while I was younger!  I love the look!,"February 19, 2024"
mariammgul,5,"The color, loovee iit!! Most comfortable for me 33","February 19, 2024"
Merv,5,Style that has lasted the test of time and will always be,"February 19, 2024"
Britt,4,"Ok. Just Bought, because Samba alwasy sold out. But they're ok.","February 19, 2024"
Justine,5,"This product is so swag, perferct quality. I’m completly satisfed","February 19, 2024"
Sal62,5,"So comfortable from the start. No breaking in, rubbing or plisters!  And they look great too.","February 19, 2024"
Aabecerra30,4,Runs too tight if you have a wide foot but length is fine,"February 19, 2024"
Samtasticlysam,5,"Beyond comfortable, great true to size shoe, plus the fact it’s arsenal makes it even better!","February 19, 2024"
Willie,5,"I’ve always loved the Gazelle. In fact I have  multiple pairs, just not any in red and black. Now I do. Extremely comfortable and they’ll never go out of style.","February 19, 2024"
KatieH,5,"I love these shoes. They fit perfectly and don’t hurt my feet after wearing them for an extended time, like other shoes often do. Highly recommend.","February 19, 2024"
Farhanball,5,Say less end the talking quality pair of shoes and absolutely breathtaking colour,"February 18, 2024"
JH1991,5,"I wear these shoes in a warehouse for up to 18 hours a night. They were comfortable right out of the box and are holding up well. The gazelle and the original longer tongue sambas are the best sneakers I have ever owned. If you’re debating on buying them, just stop and buy them.","February 18, 2024"
Marston23,5,So this was nearly perfect as the price was really perfect,"February 18, 2024"
Isabelle,4,"Yes, perfect shoes and Color bleu orange grey etc…","February 18, 2024"
Fab31,5,They are very beautiful and comfortable. I am fully satisfied,"February 18, 2024"
Itsmisterb,5,"True to size, comfy, look great. And I’m going to buy another pair in a different colour way..","February 18, 2024"
Juls,5,Trendy comfortable and versatile trainers which can be worn with anything,"February 18, 2024"
DimiT,3,"I ordered this product and was excited but unfortunately when it arrived the quality was not great the suede looks as if is used has white patches and looks worn out 
I returned them and went for the samba black leather that are great","February 18, 2024"
Cutch12,5,"My Son loved these , he was very happy them , he was after some trainers to match a t shirt","February 18, 2024"
